shoot,score
14,28
14,28
20,24
20,25
25,39
17,31
19,25
24,30
25,31
25,33
16,18
18,32
23,37
20,24
20,22
22,37
17,25
10,11
21,24
20,21
17,26
23,28
17,18
16,16
18,32
25,27
16,26
8,10
23,33
15,19
17,24
22,29
17,16
18,20
23,34
22,39
23,20
15,29
13,25
23,30
22,29
18,32
15,23
22,34
11,24
16,21
23,30
20,27
17,33
14,18
26,39
24,31
14,23
14,19
24,33
20,30
17,26
34,57
15,30
11,16
20,18
20,29
15,34
16,22
19,24
21,29
15,32
22,27
14,36
29,18
22,41
20,34
17,26
21,17
14,24
12,32
22,18
20,33
12,16
20,30
14,24
22,29
22,30
27,38
21,28
12,24
11,18
17,31
14,25
16,27
19,18
16,25
18,32
20,32
14,27
19,23
18,2
18,31
15,24
21,26
16,29
12,21
18,20
12,16
12,20
20,29
17,28
20,36
21,31
21,26
25,32
18,23
22,31
16,19
24,29
25,34
18,2
17,23
24,44
22,27
10,25
26,34
22,27
14,16
16,22
19,26
13,19
21,31
14,21
15,28
21,19
18,27
17,23
23,25
22,30
12,19
16,27
16,21
14,19
16,34
17,33
9,17
22,31
26,29
11,24
21,27
16,30
22,26
19,33
20,26
15,18
20,23
15,27
18,24
19,25
19,28
20,2
18,19
22,33
18,25
13,23
18,12
22,25
19,25
22,29
16,21
20,27
23,30
21,23
22,24
17,29
16,20
8,21
15,25
27,26
17,22
12,17
16,16
14,19
17,22
17,27
22,37
12,13
22,34
11,20
18,29
24,34
10,14
13,12
26,25
22,24
17,23
27,33
20,24
15,25
24,33
29,37
15,21
17,20
16,23
24,20
15,24
15,20
17,28
26,29
13,16
19,26
14,21
20,31
14,27
16,17
13,18
16,29
23,27
35,37
25,42
14,19
17,18
21,28
26,31
16,18
16,22
21,25
14,23
17,18
25,36
16,19
24,32
25,34
15,25
16,26
23,26
23,32
23,36
18,33
19,17
20,29
16,30
16,24
15,25
18,22
16,21
19,27
24,41
21,35
17,18
18,24
17,19
15,26
18,19
14,29
17,29
12,15
21,22
17,15
18,22
20,32
27,41
17,32
18,22
18,31
12,11
30,36
15,17
22,27
20,36
23,37
16,29
22,38
24,34
12,17
20,32
10,13
13,17
19,38
23,32
18,25
14,15
19,43
17,24
17,21
13,19
15,23
23,17
18,19
18,22
33,61
12,20
19,31
22,33
23,42
26,36
22,37
13,13
20,31
19,24
22,30
20,34
15,18
15,27
19,29
21,30
25,34
13,21
18,25
21,36
17,32
22,32
18,30
13,15
16,26
15,26
23,33
14,19
28,38
11,18
14,24
17,30
12,25
16,17
15,24
12,21
17,21
15,23
13,26
17,27
19,28
14,35
13,22
11,21
13,13
18,30
18,39
21,33
13,25
21,33
13,25
13,18
20,35
14,25
19,26
17,25
11,17
12,24
10,20
16,28
17,27
20,36
17,32
16,24
14,32
15,29
22,25
29,37
12,22
24,28
19,27
11,15
10,13
17,25
14,26
16,20
23,29
14,18
23,40
19,28
12,16
15,26
15,24
24,39
15,30
18,32
11,30
18,32
14,31
16,30
17,28
18,24
31,34
14,23
23,31
25,39
20,25
19,32
10,20
16,15
20,22
17,24
14,30
20,32
22,36
20,26
22,35
19,27
20,29
20,30
13,24
18,22
15,23
23,31
16,27
16,24
20,31
24,26
15,21
16,23
16,30
21,28
20,21
23,27
23,30
26,38
19,20
17,21
12,20
17,23
17,20
16,23
16,26
21,32
18,27
15,28
19,37
24,29
16,19
24,30
23,36
22,26
19,21
20,34
25,41
20,23
18,26
16,19
21,24
18,17
15,17
18,20
14,14
20,29
25,35
20,19
19,27
20,31
11,21
26,25
24,35
22,38
16,20
11,18
14,25
19,28
15,23
21,35
15,23
14,18
15,17
16,24
17,30
16,19
24,40
12,22
23,35
18,31
20,32
21,18
18,28
17,28
27,31
21,33
20,35
19,23
19,26
17,32
21,33
18,28
10,16
26,34
23,35
14,26
19,37
21,34
19,27
16,23
22,29
18,31
20,27
16,35
21,27
21,33
17,32
16,19
25,33
21,43
21,19
19,21
16,27
17,19
20,31
18,26
19,26
16,29
20,27
11,25
21,29
26,31
18,23
20,27
21,22
17,16
23,41
15,12
13,19
25,51
14,24
14,23
25,39
24,24
29,38
30,34
24,27
26,44
23,26
15,25
26,38
15,25
15,20
17,18
14,27
22,36
17,19
19,32
23,32
15,21
16,20
19,25
18,25
20,33
16,17
11,22
25,38
15,18
18,30
19,23
15,20
18,25
14,25
23,29
25,32
15,20
21,23
21,35
18,20
16,23
16,20
12,20
12,20
13,15
12,16
21,31
13,19
31,42
20,27
17,23
22,34
21,27
22,38
9,15
21,29
24,32
22,29
21,30
18,23
27,40
18,26
17,22
17,36
23,36
16,20
25,33
14,22
33,43
21,32
21,32
31,47
16,36
14,22
20,32
18,22
8,12
23,32
19,37
25,37
18,28
20,32
20,36
23,37
19,41
28,35
12,23
21,29
16,28
23,48
20,14
20,29
19,26
30,34
21,29
23,25
13,26
26,36
19,23
29,44
24,33
21,27
29,43
10,14
17,23
15,12
20,25
19,25
24,34
20,32
25,40
20,34
19,31
15,21
20,34
23,36
17,33
17,25
16,27
11,14
18,24
19,23
22,38
23,37
14,29
17,27
15,21
21,38
20,26
18,31
24,25
22,24
14,25
14,22
17,30
21,22
22,26
27,43
17,19
30,51
24,34
23,32
